Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
AC>CA	4.97E-05	0.000374079	0.006347323	0.004141857	0.002139822	0.002660571	0.045880132	0.214923552	0.024591818	0.009630417	0.001369907	0.005055938	0.002155121	0.01993572	0.015497544	0.056543602	0.020714155	0.010322835	0.005019088	0.00503114
AC>CG	2.64E-05	3.17E-05	4.65E-05	4.96E-05	0.000461962	0.000146031	0.006247295	0.000972654	0.002069312	1.77E-05	0.000193987	0.002412014	5.15E-05	0.000470977	1.23E-05	0.004274165	0.001784735	0.002708308	0.000614834	0.00190918
AC>CT	0.004291091	0.000126027	0.003018727	8.32E-18	0.002019832	0.000240052	0.013594113	0.317886928	0.028490521	0.013500585	0.000755948	0.000465784	0.002853398	0.001475449	0.015137074	0.013859778	0.014488098	0.020157714	0.016252019	0.00237222
AC>GA	0.000127032	0.00023705	0.005847534	0.004401974	0.000557954	0.008581841	0.009725788	0.001159588	0.025291585	0.005350232	0.00044197	0.007284703	0.002762299	0.000788733	0.016256457	0.008476822	0.019191793	0.007339722	0.003369214	0.00158594
AC>GG	5.71E-05	4.17E-18	0.00044981	7.01E-18	1.11E-17	0.000104022	0.002538901	0.000809712	0.007127629	0.000590026	0.002249847	0.007540177	0.001464314	0.000265703	0.001741257	0.003519902	0.008064512	0.004986928	0.000779431	0.00263499
AC>GT	0.002960753	0.000280059	0.010095742	1.12E-08	0.000821932	0.000132028	0.004498052	0.000150946	0.012095976	0.028701244	0.005709611	0.002008084	0.004439439	0.003216438	0.09285221	0.003577356	0.030542486	0.012220562	0.011904767	0.0003164
AC>TA	0.001200305	0.001480313	0.001009574	0.00127057	0.001479877	0.010102168	0.005417654	0.012395591	0.041186297	0.000105005	0.000263982	0.007159833	0.002579913	0.001595998	0.002551332	0.005687769	0.008662643	0.022936838	0.006233218	0.00933111
AC>TG	0.000172044	6.36E-06	1.11E-17	5.31E-05	0.001119907	0.000449096	0.000997568	0.002569086	0.017894047	7.66E-06	0.000238984	0.001606502	0.004284486	7.73E-05	0.000369916	0.001091719	0.008804955	0.01387712	0.001016945	0.0001306
AC>TT	0.026506737	0.002920618	1.78E-06	0.000161072	0.007469379	0.003180682	0.001179489	0.000267905	0.044385233	0.000710031	0.002819808	0.003363148	0.015739739	0.000762895	0.006943356	0.004182681	0.017468062	0.016842745	0.066818468	0.00251075
AT>CA	0.000482123	3.78E-05	0.007037032	0.000916411	0.000107991	0.000114024	0.011095195	2.78E-05	0.012695776	0.003530153	0.009479354	0.001949476	0.004208115	0.002339905	0.001157098	0.007864558	0.010150171	0.004560274	0.004322273	0.0022381
