Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS21	DBS22
AC>CA	5.015450889067741e-05	0.0003776295164301	0.0063378734273415	0.004157509664812	0.0021346686915892	0.0026653553243806	0.0459202877605253	0.2151619176562839	0.0246828233813974	0.0095924287936439	0.0013779459859927	0.0050345774864858	0.0021590779460797	0.019926307885902	0.0155494288319159	0.0565567474914931	0.0207579195249938	0.0103646265828369	0.005031620058638	0.0050522429359304	0.03084314	0.01460935
AC>CG	2.6641429269897052e-05	3.200087594020782e-05	4.64307731576576e-05	4.978744543200713e-05	0.0004608494622935	0.000146293597643	0.006252762832611	0.0009737327431479	0.0020769697716942	1.7630180463369185e-05	0.0001951253683533	0.0024018236342076	5.15945574392847e-05	0.0004707546408746	1.234117964966362e-05	0.0042751586756354	0.0017885057586679	0.0027192724761472	0.0006163691664965	0.0019171879869014	8.444e-05	0.00190864
AC>CT	0.0043303332336057	0.0001272231669437	0.0030142328722988	8.351442459562488e-18	0.0020149676621093	0.0002404836692304	0.0136060110029565	0.3182394874357235	0.0285959540643556	0.0134473305034494	0.0007603841079863	0.0004638161385612	0.0028586370292842	0.0014747524064315	0.0151877520003457	0.0138630001787673	0.0145187082144661	0.0202393216954086	0.0162925983353482	0.0023821701915416	6e-08	0.00190015
AC>GA	0.0001281937137505	0.0002392999256033	0.0058388284878643	0.0044186096838329	0.0005566102858775	0.0085972731426218	0.0097343003210597	0.0011608740663806	0.025385179964759	0.0053291274395984	0.0004445635998861	0.0072539263178337	0.0027673707654364	0.0007883606209242	0.016310882626344	0.0084787927267939	0.0192323411036723	0.0073694365696858	0.003377626521839	0.0015925921683374	0.00668605	0.00865718
AC>GG	5.76221822466334e-05	4.20957894860147e-18	0.0004491403456784	7.036491783838105e-18	1.1073267999226304e-17	0.0001042090557074	0.0025411231274462	0.0008106100287664	0.007154005764646	0.0005876985795525	0.0022630497126796	0.0075083209818471	0.0014670025782941	0.0002655775554736	0.0017470866222141	0.0035207203214397	0.0080815505679255	0.0050071173776868	0.0007813771453945	0.0026460423708637	0.00182272	0.00106376
AC>GT	0.0029878292286036	0.0002827171392725	0.0100807119711878	1.1242326387872578e-08	0.0008199525507333	0.0001322654169978	0.0045019888391298	0.0001511134099558	0.0121407388113242	0.0285880288837961	0.0057431165466196	0.0019996001725836	0.0044475901064796	0.0032149194452929	0.0931630735348205	0.0035781876785843	0.0306070156606075	0.0122700364543661	0.0119344917703399	0.0003177271284298	0.02427685	0.00248573
AC>TA	0.0012112818469622	0.0014943631755734	0.0010080709974165	0.0012753716641642	0.0014763130294496	0.0101203340435523	0.0054223957042442	0.0124093386007456	0.0413387125175039	0.000104590796585	0.000265531118006	0.0071295838732195	0.0025846498925603	0.0015952444924629	0.0025598737038972	0.0056890913161659	0.0086809452892358	0.0230296968672873	0.0062487815951151	0.0093702490055712	0.00577036	0.0127221
AC>TG	0.0001736173506556	6.4203650151331775e-06	1.1083474882795685e-17	5.330067242821731e-05	0.0011172099410098	0.0004499035788776	0.0009984411034539	0.0025719353009013	0.0179602663649927	7.629784313525873e-06	0.000240386422959	0.0015997147910426	0.0042923526024235	7.726350488370767e-05	0.000371154456202	0.0010919728073684	0.0088235579636819	0.0139333009628864	0.0010194841892653	0.0001311477970067	0.00041543	0.00209506
AC>TT	0.0267491423848963	0.0029483386210327	1.7773500262501188e-06	0.0001616807139238	0.0074513905815128	0.0031864016047163	0.0011805213265379	0.0002682021258875	0.0445494866171005	0.0007072302070387	0.0028363553984834	0.0033489392481711	0.0157686382119388	0.000762534819641	0.0069666019323227	0.004183653407055	0.0175049682332493	0.0169109321765719	0.0669853056723178	0.0025212812506484	0.00508025	0.00969997
AT>CA	0.0004840250796672	3.796215212175815e-05	0.0069903498221285	0.000915134402123	0.0001071758203401	0.0001136404525332	0.0110476855135533	2.7687427997331455e-05	0.0126770987178723	0.0034981098333733	0.0094858504300413	0.0019312371367429	0.0041941183733313	0.0023267491178703	0.0011549897423631	0.0078258531795681	0.0101192047286908	0.0045551431881934	0.0043107381683239	0.0022359069786761	0.00563978	0.00517973
AT>CC	0.0002982480291693	4.187888210257447e-18	0.0090159625998301	6.990248714672444e-18	2.1139215057238235e-05	6.368505680271119e-05	0.0062304963623534	0.0001423701490931	0.0017767902391607	0.0011495202367163	0.0019011720267565	0.0034592969344998	0.0010046761910619	0.0003681583625832	0.0099951942970943	0.0020802038035782	0.0070293252194887	0.0018167306750412	0.0020425185537601	0.0012332504038677	0.00039416	0.000994
AT>CG	3.995701962104136e-06	4.187888210257447e-18	0.0144970325273384	9.446821834400186e-18	1.0420739816948424e-17	1.8138779871820716e-06	0.0011047690492143	0.0002648282568931	9.20643607596598e-18	0.002566601576968	1.741192463987728e-05	0.0013446925427744	2.322250178491304e-06	4.3454301115187646e-08	2.994533934973095e-07	0.003631800970661	0.0014121705481171	0.0007419752556019	0.0002971039981985	0.0015519677996083	3.6e-07	0.00014781
AT>GA	0.002128904985683	0.0001687568305272	0.0017972349054457	0.0003236934528024	0.0011015297608332	0.0016148975652607	0.0143321330694379	0.0001612862397389	0.0063585129464054	7.986839453414509e-05	0.0112069111066782	0.0063595822499134	0.0021265831591602	0.004180065116657	0.0078256165304431	0.0047286571790617	0.0141688232936582	0.0026375161605559	0.0101642331711901	0.0084504915924605	0.01074998	0.00279976
AT>GC	0.0001747306412795	5.875094971224475e-06	0.0052129742939947	1.7575482482605e-05	1.0420739816948424e-17	1.714214361512727e-05	0.009246216553874	0.0002250051702574	0.0018067361196291	0.0040431412705352	0.0041825794595496	0.0040020778386409	0.0002993001743994	0.0004696982368183	0.0146643754190141	0.0015028691642693	0.0108949448485627	0.0004940295361366	0.0023333094448029	0.0003681489123416	0.00301974	1.883e-05
AT>TA	0.0023498291542691	0.0004600621164159	0.0023334261724727	0.0045257186946934	0.0007869484672392	0.0021930701770387	0.033839758442561	0.000313612907454	0.0091834100004874	0.00290353026391	0.0038423694651076	0.0026724004903503	0.0104823123900195	0.0092329680423022	0.0123175232397685	0.0065109901812313	0.0124995485226973	0.0079911010018592	0.0122488819912349	0.002928567603579	0.08290773	0.0077111
