Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
AC>CA	3.99580878187862e-05	0.000292754692859282	0.00589796584758318	0.00354229820752829	0.00201906142616659	0.00239013424069132	0.0615831686680502	0.206224222264356	0.0217754409898845	0.00609327140232576	0.0011740466949547	0.00275732662242755	0.00201007716734998	0.0280087739408476	0.0140902125410517	0.0575253976447833	0.0187428571530352	0.00920567273284584	0.0049313825039886	0.00587914026423216
AC>CG	2.12252216985102e-05	2.48084596131813e-05	4.32080440703298e-05	4.24201007165151e-05	0.000435891235137674	0.000131187513245237	0.00838550816950716	0.000933284476344009	0.0018323241228306	1.11989858612733e-05	0.000166252012884216	0.00131542562742422	4.80339498889036e-05	0.00066170112362827	1.11830374061165e-05	0.00434837952531597	0.00161488765344385	0.0024152083325703	0.000604090151528989	0.00223097290269537
AC>CT	0.00344997567437431	9.86288876867635e-05	0.00280501697316762	7.11562979760899e-18	0.00190584304607435	0.000215651641977016	0.0182468645419663	0.305020012394012	0.0252276451788382	0.0085419695216903	0.000647867520172988	0.000254021830074022	0.00266135876786598	0.00207293829880484	0.0137624768098498	0.0141004324542044	0.0131093134734762	0.0179761972487504	0.015968024898366	0.00277205844353701
AC>GA	0.000102131907682013	0.000185515626224121	0.00543355928547854	0.0037647617022476	0.000526465939211463	0.00770953003030876	0.0130545579693123	0.0011126520626603	0.0223950672011377	0.00338515098997356	0.000378780032344626	0.00397281484036746	0.00257639090765376	0.00110813375672845	0.0147802086765792	0.00862400942044773	0.0173653733260961	0.00654539946459173	0.00331033904402423	0.00185325069679165
AC>GG	4.59075817797323e-05	3.2634472109453e-18	0.000417965812973657	5.995260202072e-18	1.04735729562782e-17	9.34485657346457e-05	0.00340787093887352	0.000776937780453749	0.00631133756305815	0.000373315979196815	0.00192817865337118	0.00411214116548025	0.00136576282131301	0.000373300551091459	0.00158313350932213	0.00358101986889106	0.00729703897769126	0.00444723054376685	0.000765810919526883	0.00307911841150298
AC>GT	0.00238040298558822	0.000219174523369336	0.00938101645717591	9.57873241985827e-09	0.000775546375414382	0.00011860786407504	0.00603756534514025	0.000144836250677243	0.0107106848140735	0.0181595946755341	0.00489328832105173	0.00109513674283008	0.00414065612545328	0.00451894814116329	0.084420303875657	0.00363947147224458	0.0276358582909406	0.0108980231092962	0.0116967384707861	0.000369729321705032
AC>TA	0.000965028020107208	0.00115849480363935	0.000938101459876541	0.00108664732595529	0.00139636033565929	0.00907532166667084	0.00727191238392986	0.0118938622114437	0.0364694379209929	6.64378254442374e-05	0.000226239587524944	0.003904715236428	0.00240627983999478	0.00224230412506019	0.00231964562531885	0.00578652865865658	0.0078382478221651	0.0204545577018622	0.00612429632410247	0.0109038715899338
AC>TG	0.000138320910677973	4.9773439476288e-06	1.03141782619497e-17	4.54134545977209e-05	0.00105670519538258	0.000403447127311208	0.0013389978564545	0.00246509867043443	0.015844731955918	4.84656676256234e-06	0.000204815637373234	0.00087612837293161	0.00399613176356716	0.000108602961198668	0.000336323940253737	0.00111067507852374	0.00796701645825781	0.0123753043804758	0.00099917450750389	0.000152612671980648
AC>TT	0.0213110367170115	0.0022856792964836	1.65398534290724e-06	0.000137755856101018	0.00704784557608939	0.00285737796771841	0.00158318354509333	0.000257061172456949	0.0393020158986934	0.000449244470625183	0.0024166503732055	0.00183413987979362	0.014680423968746	0.00107183254959454	0.00631283007089294	0.00425530704156908	0.0158056841230725	0.0150199822425502	0.0656508560994592	0.00293393771956671
AT>CA	0.000249353052993567	1.90300911392883e-05	0.00420639169819244	0.000504183749530378	6.55492878283213e-05	6.58949668826483e-05	0.00958033825715643	1.71596723952732e-05	0.00723176167805098	0.00143683695654392	0.00522614624785246	0.000683931960006441	0.0025248594224386	0.00211479818928879	0.000676757909802488	0.00514705737587374	0.00590813572794451	0.00261611008360506	0.00273189878554368	0.0016824239334164
